name;price;countInStock;color;category;description;brand;image;rating;numReviews
Athletic Cushioned Crew Socks 6 Pairs;20;7;White;Accessories;Stop searching for the lost match to your favorite socks. With six pairs of matching socks, you'll always have a set. These adidas crew socks support your feet with foot-hugging arch support. The stretch blend pulls moisture away from the skin to keep feet feeling dry.;adidas;/images/product_11_Athletic_Cushioned_Crew_Socks_6_Pairs_Multicolor_Q10386_03_standard.jpg;4;5
Inter Miami CF Home Authentic Jersey;70;2;White;Clothing;The future's a blank canvas. When Inter Miami CF step out in front of the home crowd, they'll wear a white uniform that shines under the Florida sun. This adidas soccer jersey is a juniors' version of their official home shirt. It keeps you dry on the training ground, though it's clean enough to wear on the street. The lightweight fabric displays embossed herons and sunset-pink details.;adidas;/images/product_12_Inter_Miami_CF_Home_Authentic_Jersey.jpg;5;2
Cushioned Mid-Crew Socks 2 Pairs;14;5;Black;Accessories;To get serious about training, start from the ground up. Give your feet the cushioned support and moisture-absorbing comfort of these adidas mid-cut crew socks. They have a Traxion footbed for a secure, no-slip fit as you train.;adidas;/images/product_13_Cozy_Mid-Cut_Crew_Socks_2_Pairs_Beige_HL9423_03_standard.jpg;4.8;21
Tour Camo-Print Hat;30;6;Blue;Accessories;Whether you prefer to dress it up or keep it casual, this adidas golf hat adds the finishing touch to any look on the links. Block your face from the bright sun as you eye the green. Play through in comfort and head for the clubhouse in versatile, street-inspired style. This product is made with Primegreen, a series of high-performance recycled materials.;adidas;/images/product_14_Tour_Camo-Print_Hat_Green_GM7498_01_standard.jpg;5;19
Essentials Loose Logo Tank Top;20;6;Pink;Clothing;What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.;adidas;/images/product_15_essentials_loose_logo_tank_top.jpg;4.8;116
Superstar Shoes;50;9;White;Shoes;Ready to shine. Whether they're watching a game from the sidelines or taking their first steps towards shooting hoops themselves, these shoes will set your infant up for success. Ever since 1970, when the adidas Superstar shoe first appeared on the basketball court, they've held their place as an icon. This version shines with iridescent 3-Stripes. Elastic laces allow for easy on and off.;adidas;/images/product_16_superstar_shoes.jpg;4.8;46
Marvel X Ghosted.3 Firm Ground Cleats;64;9;Blue;Shoes;X has mutated to give you superhuman acceleration. These limited-edition adidas soccer cleats fire a classic comic book character onto the pitch. Cyclops and Marvel X-Men graphics light up the semi-transparent and foot-hugging Speedskin upper as well as the insole. The low-cut silhouette with signature Clawcollar shape locks your foot in for match-long stability and support. The stretchy tongue ensures you can get into them in a flash.;adidas;/images/product_17_marvel_x_ghosted3_firm_ground_cleats.jpg;4.4;160
Pureboost 21 Shoes;91;6;Purple;Shoes;For quick morning miles and more. These adidas Pureboost performance running shoes are so simple, you'll want to wear them beyond your daily run. With responsive BOOST, the comfort is clear as soon as you slip them on. The soft knit upper comes with an external heel counter, which locks your foot in place as you run down that last hill.;adidas;/images/product_18_pureboost_21_shoes.jpg;4.5;63
Lite Racer BYD 2.0 Shoes;56;9;Grey;Shoes;Simplicity, versatility and comfort. Lace up these running-inspired shoes on action-filled days. They're quick to slip on when you're racing out the door. The rubber outsole gives you traction on slippery and uneven surfaces. A Cloudfoam midsole is for a soft feel and all-day cushioning. This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.;adidas;/images/product_19_lite_racer_byd_2.0_shoes.jpg;4.6;135
Adilette Shower Slides;20;5;Pink;Shoes;When you hit the pool, there's only one thing you need: these adidas slides. Okay, and a bathing suit. The point is, there's no need to pack a separate pair of shoes in your gym bag. All your pre- and post-pool comfort is right here. The slides dry quickly, so hop out of the shower and straight into them before taking on the rest of the day.;adidas;/images/product_20_adilette_shower_slides.jpg;4.6;327
Messi Mini Ball ;10;4;White;Accessories;A Messi Mini Soccer Ball that tells the story of a pivotal connection. A bond like no other. This adidas mini ball showcases Lionel Messi's relationship with soccer. The graphics on each panel narrate his trajectory from novice to superstar. A foam core means it's always ready to roll. The Messi logo gives it the ultimate seal of approval.;adidas;/images/product_21_messi_mini_ball.jpg;5;10
Copa Sense.3 Turf Shoes;64;2;White;Shoes;In the cage. On the court. When the walls close in, your senses take over. Let Copa Sense elevate your touch as you switch up your game. The stretchy collar on these adidas soccer shoes makes for easy entry and a secure fit. Once on, the anatomically designed upper keeps you firmly locked in. Soft and durable, the leather forefoot brings step-in comfort and a touch that buys you time on the busiest courts.;adidas;/images/product_22_copa_sense_3_turf_shoes.jpg;4.3;106
Best Version of Myself Slogan Graphic Tank Top;18;10;Yellow;Clothing;Every day brings a new opportunity to be the best version of yourself. The inspirational graphic on this adidas tank top reminds you to strive to be a little bit better than the day before. Reach for that goal in comfort, thanks to the racerback design and moisture-absorbing AEROREADY technology. By buying cotton products from us, you're supporting more sustainable cotton farming. This product is made with recycled content as part of our ambition to end plastic waste.;adidas;/images/product_23_best_version_of_myself_tank_top.jpg;4.4;7
Essentials 3-Stripes Full-Zip Hoodie;44;3;Green;Clothing;There are a lot of things we compromise on in life. Comfort isn't one of them. Not with this adidas hoodie, at least. It's made from soft, stretchy cotton to make sure nothing limits your movements. Whether you're warming up or laying low, the casual layer keeps you feeling good on all fronts.;adidas;/images/product_24_essentials_3Stripes_fullzip_hoodie.jpg;5;21
FutureNatural Shoes;84;6;Blue;Shoes;Trends change, but feet remain the same. Made for running and training, these adidas shoes were designed to work with the foot to support natural movement in every direction. A smooth transition between the adidas Primeknit upper and injected PU midsole provides a seamless fit and unrestricted feel. This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.;adidas;/images/product_25_future_natural_shoes.jpg;4.5;204
Primegreen Essentials Warm-Up Slim 3-Stripes Track Jacket;40;8;Blue;Clothing;Dash out the door feeling ready for it all. This track jacket has a slim cut with raglan sleeves for a distraction-free feel while warming up or recovering later on. Side pockets keep a bus pass and music player within reach.  This product is made with Primegreen, a series of high-performance recycled materials.;adidas;/images/product_26_primegreen_essentials_warmup_slim_3Stripes_track_jacket.jpg;4.7;14
